Year,RoundNumber,QualyPos,GridPosition,RacePos,Points,Laps,Q1_seconds,Q2_seconds,Q3_seconds,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Red Bull Racing,Team_Williams,FinishedRace,IsRaceWinner,IsPodium,driver_avg_points_last_3,driver_avg_finish_pos_last_3,driver_avg_qualy_pos_last_3,driver_championship_points_before_race,driver_total_dnfs_season
2024,1,1,1,1,26.0,57.0,90.031,89.374,89.179,0,0,0,0,0,0,0,0,1,0,1,1,1,0.0,17.0,16.5,0.0,32s
2024,1,2,2,4,12.0,57.0,90.243,89.165,89.407,0,0,1,0,0,0,0,0,0,0,1,0,0,11.5,4.5,4.5,0.0,10
2024,1,3,3,5,10.0,57.0,90.35,89.922,89.485,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,16.5,16.5,0.0,17
2024,1,4,4,3,15.0,57.0,89.909,89.573,89.507,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,17.0,17.0,0.0,7
2024,1,5,5,2,18.0,57.0,90.221,89.932,89.537,0,0,0,0,0,0,0,0,1,0,1,0,1,5.0,12.5,7.0,0.0,40
2024,1,6,6,9,2.0,57.0,90.179,89.801,89.542,0,1,0,0,0,0,0,0,0,0,1,0,0,9.0,9.5,7.5,0.0,14
2024,1,7,7,6,8.0,57.0,90.143,89.941,89.614,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,16.5,17.5,0.0,28
2024,1,8,8,8,4.0,57.0,90.531,90.122,89.683,0,0,0,0,0,1,0,0,0,0,1,0,0,3.5,8.5,11.0,0.0,36
2024,1,9,9,7,6.0,57.0,90.451,89.718,89.71,0,0,0,0,0,0,1,0,0,0,1,0,0,5.5,8.0,4.5,0.0,28
2024,1,10,10,16,0.0,56.0,90.566,89.851,90.502,0,0,0,1,0,0,0,0,0,0,1,0,0,17.5,3.0,3.0,0.0,33
2024,1,11,11,14,0.0,56.0,90.481,90.129,999.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,14.5,16.0,0.0,45
2024,1,12,12,10,1.0,57.0,89.965,90.2,999.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,10.5,11.0,0.0,24
2024,1,13,13,15,0.0,56.0,90.397,90.221,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0
2024,1,14,14,13,0.0,56.0,90.562,90.278,999.0,0,0,0,0,0,0,0,1,0,0,1,0,0,15.0,3.0,4.5,0.0,11
2024,1,15,15,12,0.0,56.0,90.646,90.529,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,4.0,8.0,12.0,0.0,22
2024,1,16,16,19,0.0,56.0,90.756,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,13.5,12.5,0.0,44
2024,1,17,17,11,0.0,56.0,90.757,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,18.5,2.5,1.5,0.0,20
2024,1,18,18,20,0.0,55.0,90.77,999.0,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,15.0,16.0,0.0,30
2024,1,19,19,17,0.0,56.0,90.793,999.0,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,13.0,13.5,0.0,13
2024,1,20,20,18,0.0,56.0,90.948,999.0,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,10.5,5.0,6.0,0.0,36
2024,2,1,1,1,25.0,50.0,88.171,88.033,87.472,0,0,0,0,0,0,0,0,1,0,1,1,1,13.0,9.0,10.0,1473.0,32
2024,2,2,2,3,16.0,50.0,88.318,88.112,87.791,0,0,1,0,0,0,0,0,0,0,1,0,1,10.0,5.0,4.5,268.0,10
2024,2,3,3,2,18.0,50.0,88.638,88.467,87.807,0,0,0,0,0,0,0,0,1,0,1,0,1,14.0,3.5,8.0,2193.0,40
2024,2,4,4,5,10.0,50.0,88.706,88.122,87.846,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,13.0,8.5,600.0,14
2024,2,5,5,4,12.0,50.0,88.755,88.343,88.089,0,0,0,0,0,1,0,0,0,0,1,0,0,2.5,9.0,9.5,1881.0,36
2024,2,6,6,8,4.0,50.0,88.805,88.479,88.132,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0,12.0,11.0,937.0,28
2024,2,7,7,6,8.0,50.0,88.749,88.448,88.316,0,0,0,0,0,0,1,0,0,0,1,0,0,5.0,12.0,11.0,681.0,17
2024,2,8,8,9,2.0,50.0,88.994,88.606,88.46,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,8.5,6.0,1254.0,28
2024,2,9,9,15,0.0,49.0,88.988,88.564,88.547,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,12.5,12.0,2313.0,45
2024,2,10,10,19,0.0,5.0,88.25,88.578,88.572,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,9.5,11.0,906.0,24
2024,2,11,11,7,6.0,50.0,88.984,88.642,999.0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.0,12.0,13.5,0.0,36
2024,2,12,12,11,0.0,50.0,89.107,88.98,999.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,15.0,13.0,0.0,0
2024,2,13,13,12,0.0,50.0,89.069,89.02,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,12.0,15.0,891.0,22
2024,2,14,14,16,0.0,49.0,89.065,89.025,999.0,0,0,0,0,0,0,0,1,0,0,1,0,0,9.0,7.5,9.5,568.0,11
2024,2,15,15,10,1.0,50.0,89.055,999.0,999.0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.5,8.5,5.5,1838.0,33
2024,2,16,16,17,0.0,49.0,89.179,999.0,999.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,18.0,12.5,2313.0,44
2024,2,17,17,13,0.0,49.0,89.475,999.0,999.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,15.0,17.0,575.0,13
