Year,RoundNumber,EventName,QualyPos,FullName,Q1,Q2,Q3,GridPosition,RacePos,Points,Laps,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_Racing Bulls,Team_Red Bull Racing,Team_Williams,FinishedRace,IsRaceWinner,IsPodium,IsStreetCircuit,RacePos_Last_1,RacePos_Last_2,RacePos_Last_3,driver_avg_points_last_3,driver_avg_finish_last_3,driver_avg_qualy_last_3,season_points,dnfs_season
2024,1,Bahrain Grand Prix,1.0,Max Verstappen,90.031,89.374,89.179,1.0,1.0,26.0,57.0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,2.0,Charles Leclerc,90.243,89.165,89.407,2.0,4.0,12.0,57.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,3.0,George Russell,90.35,89.922,89.485,3.0,5.0,10.0,57.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,4.0,Carlos Sainz,89.909,89.573,89.507,4.0,3.0,15.0,57.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,5.0,Sergio Perez,90.221,89.932,89.537,5.0,2.0,18.0,57.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,6.0,Fernando Alonso,90.179,89.801,89.542,6.0,9.0,2.0,57.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,7.0,Lando Norris,90.143,89.941,89.614,7.0,6.0,8.0,57.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,8.0,Oscar Piastri,90.531,90.122,89.683,8.0,8.0,4.0,57.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,9.0,Lewis Hamilton,90.451,89.718,89.71,9.0,7.0,6.0,57.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,10.0,Nico Hulkenberg,90.566,89.851,90.502,10.0,16.0,0.0,56.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,11.0,Yuki Tsunoda,90.481,90.129,999.0,11.0,14.0,0.0,56.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,12.0,Lance Stroll,89.965,90.2,999.0,12.0,10.0,1.0,57.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,13.0,Alexander Albon,90.397,90.221,999.0,13.0,15.0,0.0,56.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,14.0,Daniel Ricciardo,90.562,90.278,999.0,14.0,13.0,0.0,56.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,15.0,Kevin Magnussen,90.646,90.529,999.0,15.0,12.0,0.0,56.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
2024,1,Bahrain Grand Prix,16.0,Valtteri Bottas,90.756,999.0,999.0,16.0,19.0,0.0,56.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0
